PSP|PRN,|PRN|IST|FRA|DEN|PSP|
PSP|RIX,|RIX|IST|FRA|DEN|PSP|
PSP|ROV,|ROV|IST|FRA|DEN|PSP|
PSP|RTM,|RTM|IST|FRA|DEN|PSP|
PSP|RUH,|RUH|IST|FRA|DEN|PSP|
PSP|SAH,|SAH|IST|FRA|DEN|PSP|
PSP|SJJ,|SJJ|IST|FRA|DEN|PSP|
PSP|SKG,|SKG|IST|FRA|DEN|PSP|
PSP|SKP,|SKP|IST|FRA|DEN|PSP|
PSP|SSH,|SSH|IST|FRA|DEN|PSP|
PSP|STR,|STR|EWR|DEN|PSP|
PSP|SVX,|SVX|IST|FRA|DEN|PSP|
PSP|SYZ,|SYZ|IST|FRA|DEN|PSP|
PSP|SZG,|SZG|IST|FRA|DEN|PSP|
PSP|TBZ,|TBZ|IST|FRA|DEN|PSP|
PSP|TGD,|TGD|IST|FRA|DEN|PSP|
PSP|TIA,|TIA|IST|FRA|DEN|PSP|
PSP|TIF,|TIF|IST|FRA|DEN|PSP|
PSP|TIP,|TIP|IST|FRA|DEN|PSP|
PSP|TLL,|TLL|VNO|CPH|YYZ|DEN|PSP|
