LFW|RTM,|RTM|IST|BRU|LFW|
LFW|RUH,|RUH|IST|BRU|LFW|
LFW|SAH,|SAH|IST|BRU|LFW|
LFW|SJJ,|SJJ|IST|BRU|LFW|
LFW|SKG,|SKG|IST|BRU|LFW|
LFW|SKP,|SKP|IST|BRU|LFW|
LFW|SSH,|SSH|IST|BRU|LFW|
LFW|STR,|STR|IST|BRU|LFW|
LFW|SVX,|SVX|IST|BRU|LFW|
LFW|SYZ,|SYZ|IST|BRU|LFW|
LFW|SZG,|SZG|IST|BRU|LFW|
LFW|TBZ,|TBZ|IST|BRU|LFW|
LFW|TGD,|TGD|IST|BRU|LFW|
LFW|TIA,|TIA|IST|BRU|LFW|
LFW|TIF,|TIF|IST|BRU|LFW|
LFW|TIP,|TIP|IST|BRU|LFW|
LFW|TLL,|TLL|IST|BRU|LFW|
LFW|TLS,|TLS|IST|BRU|LFW|
LFW|TRN,|TRN|IST|BRU|LFW|
