XUZ|DUS,|DUS|IST|URC|INC|XUZ|
XUZ|EDI,|EDI|IST|URC|INC|XUZ|
XUZ|ELQ,|ELQ|IST|URC|INC|XUZ|
XUZ|FDH,|FDH|IST|URC|INC|XUZ|
XUZ|GOA,|GOA|IST|URC|INC|XUZ|
XUZ|GOT,|GOT|IST|URC|INC|XUZ|
XUZ|HAJ,|HAJ|IST|URC|INC|XUZ|
XUZ|HBE,|HBE|IST|URC|INC|XUZ|
XUZ|HEL,|HEL|IST|URC|INC|XUZ|
XUZ|HRG,|HRG|IST|URC|INC|XUZ|
XUZ|IFN,|IFN|IST|URC|INC|XUZ|
XUZ|ISE,|ISE|IST|URC|INC|XUZ|
XUZ|ISU,|ISU|IST|URC|INC|XUZ|
XUZ|JIB,|JIB|IST|URC|INC|XUZ|
XUZ|JRO,|JRO|IST|URC|INC|XUZ|
XUZ|KAN,|KAN|IST|URC|INC|XUZ|
