EBB|GRR,|GRR|CLE|YYZ|BRU|EBB|
EBB|GSP,|GSP|EWR|BRU|EBB|
EBB|PBI,|PBI|EWR|BRU|EBB|
EBB|PKB,|PKB|CLE|YYZ|BRU|EBB|
EBB|RIC,|RIC|EWR|BRU|EBB|
EBB|SDF,|SDF|CLE|YYZ|BRU|EBB|
EBB|GUM,|GUM|FUK|ICN|IST|EBB|
EBB|WRL,|WRL|CYS|DEN|ORD|BRU|EBB|
EBB|LBL,|EBB|
EBB|ABQ,|ABQ|ORD|BRU|EBB|
EBB|AIA,|AIA|DEN|ORD|BRU|EBB|
EBB|ALS,|ALS|DEN|ORD|BRU|EBB|
EBB|AMA,|AMA|DAL|STL|ORD|BRU|EBB|
EBB|ANC,|ANC|SEA|FRA|IST|EBB|
EBB|ASE,|ASE|DEN|ORD|BRU|EBB|
